date,r_ai,r_electricity,r_coal,r_gas,r_wti,r_gold
2020-01-03,-0.7236191994,0.1373370669,-0.1937359340,0.4866189651,2.9477853137,1.4744196022
2020-01-06,-0.0434817831,0.1886637589,-0.4102348407,1.9231361928,0.4276556767,0.9180173594
2020-01-07,0.0468913196,-0.1971753027,-0.9346878177,3.2789822823,-0.9049835520,0.5114742277
2020-01-08,1.1230597134,-0.0106404486,-1.2305143179,-3.7563101576,-4.9867299095,-1.1617486404
2020-01-09,0.9879812655,0.5898970996,-2.9163125502,-1.9324272826,-0.1509940728,-0.2213514922
2020-01-10,-0.3544828185,0.2572535523,-1.2138016881,0.0000000000,-0.9107838301,0.6363497306
2020-01-13,1.8915603926,0.6137779644,3.3755611687,-0.9804000097,-1.4506611592,-0.8988737875
2020-01-14,0.0213654144,0.2660077391,0.4001783909,5.7432049086,0.2918206517,-0.1247306013
2020-01-15,0.6070032686,1.3659640769,-2.6530333002,-6.7333120069,-0.8261664892,0.6330277444
2020-01-16,1.4963519557,0.5848045079,2.0298396519,2.4571260731,1.1342276604,-0.2187213398
2020-01-17,-0.1360626581,0.7367927299,-2.8764297672,0.4842624476,0.0512513892,0.2457066908
2020-01-22,0.1031526105,0.3616075031,-1.3599043959,-4.6520015635,-2.5912240154,0.0571074759
2020-01-23,0.4259874466,0.8751365291,-2.2500640190,3.1252543504,-2.2268667590,0.2831302496
2020-01-24,-1.1275858887,0.3581653231,-3.4341413514,-2.0726130517,-2.5913858819,0.4671384828
2020-01-27,-2.8650256916,-0.2928128539,-1.7491635101,6.0932550995,-1.8660739288,0.7168716864
2020-01-28,1.5833650321,0.4091023384,-2.4258153386,-3.5091319811,0.4510438017,-0.9980420752
2020-01-29,-0.6288525452,0.3544933842,-0.8672141070,-1.5424470326,-0.0750328304,0.6922556404
2020-01-30,0.2320560288,0.8638479190,-0.0544514035,0.5167970158,-2.0857790653,-0.1840487424
2020-01-31,-1.9919599955,-0.5594427067,-2.0636308045,-1.5584731017,-1.1756905202,1.0099882974
2020-02-03,1.9919599955,0.3138111384,1.9273724376,-0.5249355886,-2.9911714450,-0.8684310811
2020-02-04,3.1255462252,-1.0035083125,6.4674863083,-0.5277057101,-0.9433085503,-1.5276743248
2020-02-05,-0.1568213598,0.4308139814,9.1771671596,0.0000000000,2.5484158334,0.2669455634
2020-02-06,0.2990279828,-0.0846281239,-3.1989459120,-1.6000341346,0.1375110717,0.6499038418
2020-02-07,-1.8914941507,-0.2265219944,-4.5316790848,3.6943515192,-1.1848479844,0.2193081201
2020-02-10,0.9256363490,0.4060858954,-1.5744357728,-4.2334363827,-1.5010789206,0.1279199815
2020-02-11,0.9746392202,0.4044435051,0.8918392658,0.0000000000,0.8233804927,-0.2917180940
2020-02-12,1.2612708350,-0.0615474021,-0.7128339757,3.1917602968,2.2348403664,-0.1334035655
2020-02-13,0.3100972916,0.9812168866,0.8902513331,2.0726130517,0.5461296976,0.6849123852
2020-02-14,-0.2525700926,0.5166235477,-2.2277198298,-1.0309369659,1.1987769235,0.5257692216
2020-02-19,1.1890970660,-1.1518725397,0.8545953863,-1.4815085785,2.2958982075,0.6055626789
2020-02-20,-0.0288919171,0.4953543463,-6.2512038794,-1.5037877365,0.8591759987,0.4988652829
2020-02-21,-2.2884727709,-0.2733301434,-2.8680790881,-1.0152371464,-0.7654289214,1.4708851320
2020-02-24,-3.7930274992,-1.2122958442,-1.9972133187,-1.0256500167,-3.8201742226,1.0301445042
2020-02-25,-2.8598271086,-2.1107443736,-2.8352037879,-0.5167970158,-3.1246362442,-1.5376050025
2020-02-26,-0.0803103097,-1.1316658406,-7.6048324080,1.5424470326,-2.2550473094,0.2796658048
2020-02-27,-4.5740093404,-5.0827664984,2.8384119317,-9.6331108938,-3.1304726549,0.1456291711
2020-02-28,0.0545624508,-3.5914366146,0.9593141804,0.5602255549,-5.0880539129,-3.5468028763
2020-03-02,2.8178577186,5.9210560945,-3.0011630346,-2.2599831917,4.2578202989,0.3532916123
2020-03-03,-2.4127025988,-1.1947034307,-1.4062232364,1.6997576369,1.0420083649,3.0362957733
2020-03-04,2.9018325948,5.4525772459,1.4379541585,2.7702602549,-1.0420083649,-0.2405667298
2020-03-05,-3.2229661143,-1.5752799823,-5.5778357300,3.2260862218,-1.8990644090,2.1038508394
2020-03-06,-3.4125560802,-0.8520801441,-4.4939820415,-7.1263020021,-10.9484232842,0.2164528894
2020-03-09,-8.9424678576,-5.9652742574,-17.9798426776,-1.1428695824,-28.1382075845,0.3559475859
2020-03-10,4.4875840071,1.0737617967,3.9931215702,9.3218128832,10.4490572149,-1.8525500068
2020-03-11,-4.9811419125,-5.5106858812,-10.5001867757,2.5841231184,-3.9650164217,-0.8726181075
2020-03-12,-10.4696968092,-10.7660109786,-14.9083604902,-7.4107972154,-4.8548720334,-3.6079776065
2020-03-13,7.3712250297,5.2814096627,20.6988788996,6.3851471987,0.5056900789,-3.0509738992
2020-03-16,-12.5371356053,-12.2955764492,-0.4239090706,-2.6111144004,-9.1031829249,-0.9913657668
2020-03-17,4.3992501570,12.1429899589,13.3425184776,0.0000000000,-7.1561281473,0.9181219794
2020-03-18,-7.8127157825,-5.0864324623,-18.7539608142,-8.8455420562,-27.4905485873,-2.8049389701
2020-03-19,3.1315323532,-4.7429814112,2.0857201610,-2.9327615095,20.3020560207,-1.0347368553
2020-03-20,-2.8835486274,-8.1421639444,-8.0921442352,4.6520015635,-25.3081062164,1.8348644261
2020-03-23,-0.2172593052,-5.4793034768,-4.5794655190,-3.4685557988,18.0351787819,3.6418893468
2020-03-24,9.8699236706,10.5741243537,2.0232617139,1.7493157448,-10.3790096319,4.2968471858
2020-03-25,1.1819919145,2.0889565790,0.0000000000,3.9665256392,-1.3403743038,-0.5093001348
2020-03-26,5.7807332423,8.1427462111,-4.9572101459,-3.9665256392,-22.3143551314,1.1453622717
2020-03-27,-4.1536164328,0.5589495494,-7.9016540318,-1.7493157448,-6.9853827201,-0.5454760015
2020-03-30,2.9186071613,3.6554636580,1.7621601350,-2.9852963150,-9.3374070777,-0.0123198226
2020-03-31,-0.7778444382,-3.8791608998,4.3264424206,3.5718082602,37.4737774700,-3.2551447984
2020-04-01,-5.9389040223,-6.3622642135,3.4929077258,-1.1764841580,-1.1277393361,1.4995417357
2020-04-02,0.6310229915,2.9930674652,4.7322777178,-8.6473598004,21.6414849893,1.1680366151
