observation_date,NASDAQNQUSB60101040
2020-01-02,46.50
2020-01-03,46.41
2020-01-06,46.22
2020-01-07,45.79
2020-01-08,45.23
2020-01-09,43.93
2020-01-10,43.40
2020-01-13,44.89
2020-01-14,45.07
2020-01-15,43.89
2020-01-16,44.79
2020-01-17,43.52
2020-01-20,
2020-01-21,41.46
2020-01-22,40.90
2020-01-23,39.99
2020-01-24,38.64
2020-01-27,37.97
2020-01-28,37.06
2020-01-29,36.74
2020-01-30,36.72
2020-01-31,35.97
2020-02-03,36.67
2020-02-04,39.12
2020-02-05,42.88
2020-02-06,41.53
2020-02-07,39.69
2020-02-10,39.07
2020-02-11,39.42
2020-02-12,39.14
2020-02-13,39.49
2020-02-14,38.62
2020-02-17,
2020-02-18,38.45
2020-02-19,38.78
2020-02-20,36.43
2020-02-21,35.40
2020-02-24,34.70
2020-02-25,33.73
2020-02-26,31.26
2020-02-27,32.16
2020-02-28,32.47
2020-03-02,31.51
2020-03-03,31.07
2020-03-04,31.52
2020-03-05,29.81
2020-03-06,28.50
2020-03-09,23.81
2020-03-10,24.78
2020-03-11,22.31
2020-03-12,19.22
2020-03-13,23.64
2020-03-16,23.54
2020-03-17,26.90
2020-03-18,22.30
2020-03-19,22.77
2020-03-20,21.00
2020-03-23,20.06
2020-03-24,20.47
2020-03-25,20.47
2020-03-26,19.48
2020-03-27,18.00
2020-03-30,18.32
2020-03-31,19.13
2020-04-01,19.81
2020-04-02,20.77
2020-04-03,19.51
2020-04-06,21.08
2020-04-07,20.30
2020-04-08,20.50
2020-04-09,21.64
2020-04-10,21.64
2020-04-13,22.15
2020-04-14,22.91
2020-04-15,20.68
2020-04-16,19.36
2020-04-17,19.70
2020-04-20,19.46
2020-04-21,18.86
2020-04-22,19.26
2020-04-23,18.17
2020-04-24,16.77
2020-04-27,17.02
2020-04-28,18.89
2020-04-29,20.96
2020-04-30,21.24
2020-05-01,19.81
2020-05-04,21.51
2020-05-05,19.99
2020-05-06,19.25
2020-05-07,19.41
2020-05-08,23.70
2020-05-11,22.85
2020-05-12,21.28
2020-05-13,19.49
2020-05-14,19.79
2020-05-15,20.06
2020-05-18,22.23
2020-05-19,21.84
2020-05-20,22.80
2020-05-21,22.59
2020-05-22,22.03
2020-05-25,22.03
2020-05-26,22.67
2020-05-27,23.45
2020-05-28,23.43
2020-05-29,22.51
2020-06-01,22.29
2020-06-02,22.36
2020-06-03,23.36
2020-06-04,24.26
2020-06-05,26.90
2020-06-08,29.63
2020-06-09,28.57
2020-06-10,26.85
2020-06-11,23.17
2020-06-12,23.61
2020-06-15,24.06
2020-06-16,24.69
2020-06-17,23.22
2020-06-18,22.19
2020-06-19,22.06
2020-06-22,22.59
2020-06-23,22.19
2020-06-24,22.22
2020-06-25,22.13
2020-06-26,21.08
2020-06-29,21.73
2020-06-30,21.43
2020-07-01,20.74
2020-07-02,20.95
2020-07-03,
2020-07-06,21.63
2020-07-07,21.18
2020-07-08,20.91
2020-07-09,20.54
2020-07-10,21.47
2020-07-13,21.07
2020-07-14,21.51
2020-07-15,22.23
2020-07-16,22.20
2020-07-17,22.17
2020-07-20,21.85
2020-07-21,22.27
2020-07-22,21.64
2020-07-23,22.46
2020-07-24,23.06
2020-07-27,22.94
2020-07-28,22.65
2020-07-29,23.64
2020-07-30,23.12
2020-07-31,22.88
2020-08-03,23.24
2020-08-04,22.91
2020-08-05,22.42
2020-08-06,21.51
2020-08-07,21.36
2020-08-10,22.90
2020-08-11,23.11
2020-08-12,22.66
2020-08-13,22.19
2020-08-14,23.04
2020-08-17,22.91
2020-08-18,22.88
2020-08-19,22.12
2020-08-20,21.75
2020-08-21,21.06
2020-08-24,21.66
2020-08-25,21.85
2020-08-26,21.98
2020-08-27,22.09
2020-08-28,23.21
2020-08-31,23.30
2020-09-01,23.54
2020-09-02,23.40
2020-09-03,23.63
2020-09-04,24.71
2020-09-07,
2020-09-08,23.72
2020-09-09,23.94
2020-09-10,24.04
2020-09-11,25.26
2020-09-14,26.48
2020-09-15,26.81
2020-09-16,27.73
2020-09-17,29.65
2020-09-18,31.28
2020-09-21,28.74
2020-09-22,28.76
2020-09-23,26.90
2020-09-24,26.55
2020-09-25,26.29
2020-09-28,26.82
2020-09-29,25.02
2020-09-30,24.43
2020-10-01,24.37
2020-10-02,25.24
2020-10-05,25.63
2020-10-06,24.54
2020-10-07,24.06
2020-10-08,24.49
2020-10-09,23.59
2020-10-12,23.07
2020-10-13,22.19
2020-10-14,22.50
2020-10-15,22.20
2020-10-16,21.91
2020-10-19,21.31
2020-10-20,21.81
2020-10-21,21.65
2020-10-22,21.62
2020-10-23,22.12
