,AI,Electricity,Coal,GAS,WTI,Gold
AR(1),0.0013363030694001129,-0.02717154625686407,0.03808979923231687,0.0038557117280265205,0.01203207620915403,-0.014660757626181055
omega,0.2133633296659318,0.2879959252147069,0.10281570996620386,15.774231816711337,0.754009793927204,0.15627220176144282
alpha1,0.049235449441162295,0.1269966261918556,0.025781489028723813,0.21050039506344614,0.1384641339614012,0.01104405952251919
alpha2,0.15051377627696055,0.12046192582427478,0.018713574459487757,0.18239611893472438,0.10566538965951491,0.08323452682751638
alpha3,0.07737943746101306,0.04493769636899848,0.042903893737195026,0.27398190348513585,0.12589290820544538,0.040423303582094984
alpha4,0.016504754611285387,0.0,0.0,0.1279278862608274,0.0,0.02755047985161467
beta1,5.83891998815972e-12,0.22483945237499636,0.3820551782531924,0.0,3.865132448362257e-12,0.0
beta2,6.037820725893111e-12,2.1845195671680137e-15,0.0,0.0,4.2881419694704526e-12,0.0
beta3,0.35898816277004336,2.1537685263758178e-15,0.0,0.07894159511370862,0.1926139476297626,0.22169857496208834
beta4,0.28175458087080935,0.30135835574755976,0.5216954547277627,4.171895959518377e-15,0.3267382645512885,0.45610496141257706
nu,13.066126361070333,7.554777783186833,5.878099750570501,3.6098704548952747,7.866291247328057,5.337710216850519
persistence,0.9343761614431507,0.8185940565076892,0.9911495902063616,0.8737478988578465,0.889374644015566,0.8400559061584106
