variable,model_order,distribution,convergence,loglik,AIC,BIC,persistence,mean_model,params_json,pvalues_json,failure_reason,residual_diagnostics_summary
r_ai,"(3,3)",normal,True,-2285.692841196047,4589.385682392094,4635.188870787342,0.9627240050085871,AR(1),"{""Const"": 0.06549255346133925, ""r_ai[1]"": 0.002088270303757547, ""omega"": 0.11788142204712926, ""alpha[1]"": 0.04743561915922108, ""alpha[2]"": 0.10917981167312762, ""alpha[3]"": 1.026493253521641e-12, ""beta[1]"": 0.47926960391507145, ""beta[2]"": 0.0, ""beta[3]"": 0.3268389702601405}","{""Const"": 0.14093838607919823, ""r_ai[1]"": 0.9457467988695105, ""omega"": 0.4784778893240883, ""alpha[1]"": 0.25970517868638154, ""alpha[2]"": 0.02706215075070695, ""alpha[3]"": 0.9999999999957231, ""beta[1]"": 0.5289940813540491, ""beta[2]"": 1.0, ""beta[3]"": 0.2840540844020789}",,"LB_p=0.0088; LB2_p=0.9136; ARCHLM_p=0.9230; pass=LB_sq,ARCHLM"
r_electricity,"(3,3)",normal,True,-1912.229899496383,3842.459798992766,3888.2629873880137,0.7057136850998151,AR(1),"{""Const"": 0.06796720694553855, ""r_el...ity[1]"": -0.03640651233892224, ""omega"": 0.4482400529200981, ""alpha[1]"": 0.07085033372426826, ""alpha[2]"": 0.1359712640707276, ""alpha[3]"": 0.1460666064364423, ""beta[1]"": 1.290443852263687e-13, ""beta[2]"": 0.0, ""beta[3]"": 0.35282548086824783}","{""Const"": 0.07867552600812745, ""r_el...ity[1]"": 0.2759375366530715, ""omega"": 0.10788412293503218, ""alpha[1]"": 0.09168473828480944, ""alpha[2]"": 0.12839357799516127, ""alpha[3]"": 0.3071444187661617, ""beta[1]"": 0.9999999999998301, ""beta[2]"": 1.0, ""beta[3]"": 0.4550931155481772}",,"LB_p=0.1164; LB2_p=0.9961; ARCHLM_p=0.9970; pass=LB,LB_sq,ARCHLM"
r_coal,"(3,3)",normal,True,-3097.982069737528,6213.964139475056,6259.767327870304,0.978921347111604,AR(1),"{""Const"": 0.10933312366564252, ""r_coal[1]"": 0.05639402178880622, ""omega"": 0.24372586438540797, ""alpha[1]"": 0.06294735431929978, ""alpha[2]"": 0.04357611382804665, ""alpha[3]"": 0.010707394871759108, ""beta[1]"": 0.15536189618890192, ""beta[2]"": 0.03343121718124257, ""beta[3]"": 0.6728973707223539}","{""Const"": 0.24601058504194717, ""r_coal[1]"": 0.08303421383936385, ""omega"": 0.45288974209563826, ""alpha[1]"": 0.09518528892668039, ""alpha[2]"": 0.813575517379648, ""alpha[3]"": 0.9344864235740716, ""beta[1]"": 0.9304394187902866, ""beta[2]"": 0.9905860844981819, ""beta[3]"": 0.5725978273907006}",,"LB_p=0.4491; LB2_p=0.5800; ARCHLM_p=0.5988; pass=LB,LB_sq,ARCHLM"
r_gas,"(3,3)",normal,True,-3973.969838852045,7965.93967770409,8011.742866099338,1.00000000099857,AR(1),"{""Const"": 0.21020417937158342, ""r_gas[1]"": 0.0015180921693829488, ""omega"": 8.927188406054743, ""alpha[1]"": 0.16417316899774234, ""alpha[2]"": 0.07778902255328585, ""alpha[3]"": 0.46566302129057885, ""beta[1]"": 0.2300026636378581, ""beta[2]"": 1.5018777523316664e-10, ""beta[3]"": 0.062372124368916884}","{""Const"": 0.21432306632819553, ""r_gas[1]"": 0.9977101953056926, ""omega"": 0.9047715847060164, ""alpha[1]"": 0.6741709465720997, ""alpha[2]"": 0.23637786606482725, ""alpha[3]"": 0.5533659734192471, ""beta[1]"": 0.9251061226543306, ""beta[2]"": 0.9999999999638364, ""beta[3]"": 0.982790939199087}",,"LB_p=0.3780; LB2_p=0.9980; ARCHLM_p=0.9981; pass=LB,LB_sq,ARCHLM"
r_wti,"(3,3)",normal,True,-2757.8762565232228,5533.7525130464455,5579.555701441694,0.9558204084586277,AR(1),"{""Const"": 0.12699842234853426, ""r_wti[1]"": 0.01482273574946605, ""omega"": 0.37549566550230745, ""alpha[1]"": 0.18223703825780704, ""alpha[2]"": 0.02254252920960667, ""alpha[3]"": 0.04176712335564152, ""beta[1]"": 0.1880170907304382, ""beta[2]"": 0.5212566269051342, ""beta[3]"": 1.0662357838507422e-16}","{""Const"": 0.03395457686066998, ""r_wti[1]"": 0.6230466325662319, ""omega"": 0.07560976431806476, ""alpha[1]"": 0.013017177041136054, ""alpha[2]"": 0.8121878192337938, ""alpha[3]"": 0.5110264619908622, ""beta[1]"": 0.6662909373562345, ""beta[2]"": 1.128450845649923e-09, ""beta[3]"": 0.9999999999999997}",,"LB_p=0.9480; LB2_p=0.0863; ARCHLM_p=0.1149; pass=LB,LB_sq,ARCHLM"
r_gold,"(3,3)",normal,True,-1634.7762814342334,3287.552562868467,3333.3557512637144,0.8048591203807947,AR(1),"{""Const"": 0.029697397790236696, ""r_gold[1]"": -0.0020948928514834654, ""omega"": 0.1870404625540904, ""alpha[1]"": 0.02164642437171359, ""alpha[2]"": 0.12280398764331743, ""alpha[3]"": 0.04597243310997043, ""beta[1]"": 0.0, ""beta[2]"": 0.4280141465691158, ""beta[3]"": 0.18642212868667735}","{""Const"": 0.2747350579488399, ""r_gold[1]"": 0.9436613904962534, ""omega"": 0.8454196761461138, ""alpha[1]"": 0.5093494902575062, ""alpha[2]"": 0.4322017298673224, ""alpha[3]"": 0.955899399131546, ""beta[1]"": 1.0, ""beta[2]"": 0.9009339847999258, ""beta[3]"": 0.9270551209805407}",,"LB_p=0.0369; LB2_p=0.8870; ARCHLM_p=0.9018; pass=LB_sq,ARCHLM"
r_ai,"(3,3)",t,True,-2276.247101079879,4572.494202159758,4623.3866337100335,0.9467181784858522,AR(1),"{""Const"": 0.09995558937037193, ""r_ai[1]"": 0.0030126021942005195, ""omega"": 0.1746086927731277, ""alpha[1]"": 0.045591957450465896, ""alpha[2]"": 0.11505296566952988, ""alpha[3]"": 0.07251705292046094, ""beta[1]"": 0.2371850695534811, ""beta[2]"": 4.620692833504125e-14, ""beta[3]"": 0.47637113289186817, ""nu"": 12.558871615166197}","{""Const"": 0.023096052350053565, ""r_ai[1]"": 0.9175773058011385, ""omega"": 0.027341819147658448, ""alpha[1]"": 0.11370167626529395, ""alpha[2]"": 0.012904269937342209, ""alpha[3]"": 0.27905377059533676, ""beta[1]"": 0.35831851896544464, ""beta[2]"": 0.9999999999998684, ""beta[3]"": 0.0006728945812293624, ""nu"": 0.0025159743966358225}",,"LB_p=0.0118; LB2_p=0.9540; ARCHLM_p=0.9574; pass=LB_sq,ARCHLM"
r_electricity,"(3,3)",t,True,-1896.128653933201,3812.257307866402,3863.1497394166768,0.7889400474744112,AR(1),"{""Const"": 0.08095548377869678, ""r_el...ity[1]"": -0.032358029592222705, ""omega"": 0.3330452643515997, ""alpha[1]"": 0.08876792110318768, ""alpha[2]"": 0.12783746099590704, ""alpha[3]"": 0.11369817865988699, ""beta[1]"": 1.0107960718534814e-11, ""beta[2]"": 9.51892910421313e-12, ""beta[3]"": 0.45863648669580254, ""nu"": 7.600714459532399}","{""Const"": 0.4057333564266904, ""r_el...ity[1]"": 0.736818188597439, ""omega"": 0.6770369823834839, ""alpha[1]"": 0.7031542855569856, ""alpha[2]"": 0.8335276889749571, ""alpha[3]"": 0.9122857831444463, ""beta[1]"": 0.9999999999977977, ""beta[2]"": 0.9999999999982757, ""beta[3]"": 0.8089950919478988, ""nu"": 5.0039412369248835e-05}",,"LB_p=0.1365; LB2_p=0.9952; ARCHLM_p=0.9963; pass=LB,LB_sq,ARCHLM"
r_coal,"(3,3)",t,True,-3066.5986003352227,6153.197200670445,6204.089632220721,0.992664702306225,AR(1),"{""Const"": 0.10378214179010442, ""r_coal[1]"": 0.041291545364385486, ""omega"": 0.08490416674926758, ""alpha[1]"": 0.04832156169887147, ""alpha[2]"": 0.013981950300544605, ""alpha[3]"": 0.0101631523110165, ""beta[1]"": 1.8718197058746876e-15, ""beta[2]"": 0.6022675037278761, ""beta[3]"": 0.3179305342679145, ""nu"": 5.838531521432897}","{""Const"": 0.18413622408773656, ""r_coal[1]"": 0.1640337433671123, ""omega"": 0.49960095007767724, ""alpha[1]"": 0.1835069756521337, ""alpha[2]"": 0.8329936275041316, ""alpha[3]"": 0.7390901528344241, ""beta[1]"": 0.9999999999999987, ""beta[2]"": 0.15707852742720774, ""beta[3]"": 0.6524458689704539, ""nu"": 8.651495358048926e-11}",,"LB_p=0.3608; LB2_p=0.0898; ARCHLM_p=0.1295; pass=LB,LB_sq,ARCHLM"
r_gas,"(3,3)",t,True,-3839.122683198783,7698.245366397566,7749.137797947841,0.8898912067568429,AR(1),"{""Const"": 0.12488582548570852, ""r_gas[1]"": 0.0023319375443216937, ""omega"": 12.641526466665425, ""alpha[1]"": 0.23148291024248205, ""alpha[2]"": 0.13566603025941942, ""alpha[3]"": 0.2427701451858226, ""beta[1]"": 0.21565702683008256, ""beta[2]"": 1.3631026517324085e-14, ""beta[3]"": 0.06431509423902257, ""nu"": 3.5993500697577137}","{""Const"": 0.3658851485297624, ""r_gas[1]"": 0.9365621633148313, ""omega"": 0.1415956094558757, ""alpha[1]"": 0.016521983599879362, ""alpha[2]"": 0.056970154199802954, ""alpha[3]"": 0.40942364384979735, ""beta[1]"": 0.3856513655716446, ""beta[2]"": 0.9999999999999827, ""beta[3]"": 0.8810241640436216, ""nu"": 1.7540899872195269e-15}",,"LB_p=0.4916; LB2_p=0.9994; ARCHLM_p=0.9995; pass=LB,LB_sq,ARCHLM"
r_wti,"(3,3)",t,True,-2737.399630341731,5494.799260683462,5545.691692233738,0.9164836957887444,AR(1),"{""Const"": 0.17347380939478965, ""r_wti[1]"": 0.01565990413036253, ""omega"": 0.5728880867620987, ""alpha[1]"": 0.12304016100677227, ""alpha[2]"": 0.07139045296209313, ""alpha[3]"": 0.07963997682449594, ""beta[1]"": 1.1067092928375236e-16, ""beta[2]"": 0.5562282997272588, ""beta[3]"": 0.08618480526812407, ""nu"": 7.919017020334233}","{""Const"": 0.004627479679621132, ""r_wti[1]"": 0.5880107356096824, ""omega"": 0.43029418194478286, ""alpha[1]"": 0.008164497193508171, ""alpha[2]"": 0.7670988218665588, ""alpha[3]"": 0.5162458577067859, ""beta[1]"": 0.9999999999999999, ""beta[2]"": 2.5609493399024207e-10, ""beta[3]"": 0.930475647119992, ""nu"": 4.093788559496949e-06}",,LB_p=0.9237; LB2_p=0.0011; ARCHLM_p=0.0033; pass=LB
