frequency_band,pair,average_pairwise_net,sign,interpretation
short_term,ai_electricity,0.18005085428306247,positive,前者平均为净输出者
short_term,ai_coal,1.3543133431469268,positive,前者平均为净输出者
short_term,ai_gas,1.3574930960583032,positive,前者平均为净输出者
short_term,ai_wti,-0.21244435093748165,negative,后者平均为净输出者
short_term,ai_gold,1.2912235420449956,positive,前者平均为净输出者
short_term,electricity_coal,1.6681704841688958,positive,前者平均为净输出者
short_term,electricity_gas,0.5867300726087517,positive,前者平均为净输出者
short_term,electricity_wti,-0.18273714345464256,negative,后者平均为净输出者
short_term,electricity_gold,0.75178273564455,positive,前者平均为净输出者
short_term,coal_gas,1.0852657320636097,positive,前者平均为净输出者
short_term,coal_wti,-0.8186290275463861,negative,后者平均为净输出者
short_term,coal_gold,0.06188791606567371,positive,前者平均为净输出者
short_term,gas_wti,-0.27319625032666317,negative,后者平均为净输出者
short_term,gas_gold,-0.030767787243124952,near_zero,双方平均净溢出接近均衡
short_term,wti_gold,0.9203217629269669,positive,前者平均为净输出者
medium_term,ai_electricity,0.6550468628130964,positive,前者平均为净输出者
medium_term,ai_coal,-0.14459926279586377,negative,后者平均为净输出者
medium_term,ai_gas,1.493222169194233,positive,前者平均为净输出者
medium_term,ai_wti,2.15986449564077,positive,前者平均为净输出者
medium_term,ai_gold,1.8783593950203217,positive,前者平均为净输出者
medium_term,electricity_coal,-1.2938628742756881,negative,后者平均为净输出者
medium_term,electricity_gas,0.6047879099259674,positive,前者平均为净输出者
medium_term,electricity_wti,0.49912541172737634,positive,前者平均为净输出者
medium_term,electricity_gold,0.5721061092065131,positive,前者平均为净输出者
medium_term,coal_gas,2.4700320919019876,positive,前者平均为净输出者
medium_term,coal_wti,4.650975643546329,positive,前者平均为净输出者
medium_term,coal_gold,0.6425283767165527,positive,前者平均为净输出者
medium_term,gas_wti,-0.39283293000044506,negative,后者平均为净输出者
medium_term,gas_gold,0.151833972340208,positive,前者平均为净输出者
medium_term,wti_gold,0.7157589569861276,positive,前者平均为净输出者
long_term,ai_electricity,0.709604775968221,positive,前者平均为净输出者
long_term,ai_coal,-0.8645217931675808,negative,后者平均为净输出者
long_term,ai_gas,1.4864915527520695,positive,前者平均为净输出者
long_term,ai_wti,2.49476763491922,positive,前者平均为净输出者
long_term,ai_gold,2.0055461206323377,positive,前者平均为净输出者
long_term,electricity_coal,-2.022993623891079,negative,后者平均为净输出者
long_term,electricity_gas,0.6808945967342057,positive,前者平均为净输出者
long_term,electricity_wti,0.5300702148310314,positive,前者平均为净输出者
long_term,electricity_gold,0.5340208770720111,positive,前者平均为净输出者
long_term,coal_gas,2.9197934190486,positive,前者平均为净输出者
long_term,coal_wti,5.981688138429504,positive,前者平均为净输出者
long_term,coal_gold,0.5298486103180143,positive,前者平均为净输出者
long_term,gas_wti,-0.38609470278064967,negative,后者平均为净输出者
long_term,gas_gold,0.20573945670547727,positive,前者平均为净输出者
long_term,wti_gold,0.7452868418388202,positive,前者平均为净输出者
