+date,total_tci,short_term_TCI,medium_term_TCI,long_term_TCI
+2020-01-06,58.21686897503019,54.42987317595483,59.34720010631872,59.90302813712496
+2020-01-07,58.91467260790576,54.5809555712264,57.92581851361476,64.2042278472826
+2020-01-08,73.96414809686961,73.70141669298009,71.87151119979075,63.57126853906524
+2020-01-09,73.53201998903764,72.64574169050584,72.62566728192303,61.3618323714836
+2020-01-10,72.94174863714568,72.32274668963856,71.8016125324972,64.30941436387714
+2020-01-13,79.65835926850228,77.15707277881498,71.73978671504605,63.02209657299965
+2020-01-14,75.2714935528835,76.48868296570542,72.23443071733546,59.72923768082818
+2020-01-15,71.69666867804395,71.90381732468478,63.010258482783485,62.62773511846223
+2020-01-16,69.47663357835,71.48823842148394,62.753552370364766,63.538446408992186
+2020-01-17,70.38374983978889,71.34726838950284,61.53081861098494,62.05745048987578
+2020-01-22,70.39989041848686,71.63655807225341,61.05586548156447,61.79055125416099
+2020-01-23,69.20682164675557,70.03884180320196,66.19309781294356,66.76223351701749
+2020-01-24,66.7483823411446,66.53669324936253,65.38018062089296,64.6680455490788
+2020-01-27,56.94070356318422,54.00065894670551,60.86786850368454,61.21531095553724
+2020-01-28,59.79992778578046,59.39865100403888,63.24827915525889,64.3245615882206
+2020-01-29,59.600941250817485,59.499335579895096,63.49070653764812,63.03145030002864
+2020-01-30,59.51446471980312,58.86621667843303,63.627111079113575,63.137012927000754
+2020-01-31,62.6093671712396,63.11813481116587,64.70511255942871,64.20320489889956
+2020-02-03,64.65256134212865,63.92106629187598,66.17878286455297,66.40988466151977
+2020-02-04,62.85568512185081,62.10485539021487,66.30005895200026,65.51539357365826
+2020-02-05,61.594601381852186,61.682144959946505,63.4882035020382,60.63247172878262
+2020-02-06,56.2312793874283,56.07967304542161,57.88916412801552,52.82280775161342
+2020-02-07,56.51504849482493,56.72199143147885,58.49883278154336,54.144479208189054
+2020-02-10,55.91407867559478,55.73775809596082,59.1400163670136,55.4592562731945
+2020-02-11,55.623963969771175,55.341878857494905,58.38138957638649,54.76556717875985
+2020-02-12,54.455028423427954,53.8397713540472,58.87454958033237,56.28830653207814
+2020-02-13,55.04711969640807,53.48718979072068,60.196342642508185,57.32883947765603
+2020-02-14,56.48012723152062,52.182238961274585,63.52950909367466,63.80619659810779
+2020-02-19,54.572660240558925,51.06405449896457,60.61072190294933,60.4374033232015
+2020-02-20,54.55425258463238,50.74025976149824,59.54090277677868,59.219538022530585
+2020-02-21,54.95895512512236,50.85508807965119,60.49740700306751,59.30831396624237
+2020-02-24,56.029954570365135,45.509589544487625,63.29220265793128,63.94615490438925
+2020-02-25,56.86206095202747,44.56237449094387,63.815950844466,64.15832870017682
+2020-02-26,49.70874207696441,38.324020849897146,54.30402026765727,59.486407210617365
+2020-02-27,57.24078891179468,37.49986284253031,60.438877142385536,73.41979251210317
+2020-02-28,59.85886218666469,41.62239373402952,65.31433512660296,68.24437882551594
+2020-03-02,56.40038096788898,51.18904513598977,60.94638189112917,62.62716427881311
+2020-03-03,52.977983126134056,48.80283008829056,58.23316476994417,59.86104515480209
+2020-03-04,52.99200403506489,47.843671735468085,58.20403742521799,62.88403895936965
+2020-03-05,52.890583797891125,50.21280327804637,57.16386694237047,60.15867657628328
+2020-03-06,55.27199124330083,51.657984988227504,60.12934600698572,64.06817731853654
+2020-03-09,83.29124700667916,83.33333333333334,83.33333333333334,83.33333333333334
+2020-03-10,70.8540634260897,70.4468279750754,69.77299056751318,67.68079830229259
+2020-03-11,64.11430013903014,64.46293102226014,63.34139147401493,59.54764179370512
+2020-03-12,66.39258930453657,65.43816926681015,66.1452740031101,71.44297510878707
+2020-03-13,66.71512975558312,66.86852744917661,65.67889658748038,63.9561538941582
+2020-03-16,64.36075463263079,65.81055176702137,62.63257393246997,60.95468938188341
+2020-03-17,61.375002951901934,61.69422209213776,60.05993585083343,59.218713536712606
+2020-03-18,60.66834234827617,59.02415208295088,59.1458169864041,58.22377287469504
+2020-03-19,57.50001465679523,56.25476726735944,56.096887629360914,54.8290507763631
+2020-03-20,56.95059609097019,56.21489790050417,54.30581660688115,52.44755820406124
+2020-03-23,51.858101307810834,51.781426331860445,49.97667667935903,47.517723402965615
+2020-03-24,51.01745859598071,50.64868241536291,49.50234818047185,46.37278530683411
+2020-03-25,49.85451599575517,49.30325269534006,48.93149130513212,46.624778396877616
+2020-03-26,47.5823131681233,47.02618269999948,46.6271074405517,44.30507498234388
+2020-03-27,47.44841813023782,46.873030361076,46.34898089557022,44.06530247349679
+2020-03-30,46.93418117973153,46.37660601578133,45.79721765651483,43.41471494930959
+2020-03-31,45.88183992545861,45.57971160442612,45.09306962947016,42.83399956564329
+2020-04-01,45.36687077894221,45.38775102284009,44.10639682368448,41.77280970517799
+2020-04-02,43.64005567783438,43.780413707578674,42.36851975053619,39.90894121539184
+2020-04-03,42.8349724079629,43.09828743896192,40.84550396746046,38.36180684533703
+2020-04-06,43.888185826759226,43.81067309373852,42.10285787506589,39.704113134349626
+2020-04-07,42.226620038059295,42.05479319123484,41.23362578880776,39.31672745879416
+2020-04-08,42.42694924171529,42.30772185248888,41.30049358880476,39.24208646940144
+2020-04-09,41.689864150631934,41.74251726685367,40.4133616610437,37.90961497827078
+2020-04-14,40.811848159118426,40.939745270715306,39.2103815563414,36.914554456105634
+2020-04-15,41.105877019589904,41.27041475910161,39.34203525753515,36.94640878819557
+2020-04-16,40.77308127528076,40.923433679366624,39.243770082344135,36.69135822907979
+2020-04-17,40.452492240538064,40.66849625421127,38.77253660678876,36.1101406327688
+2020-04-22,42.16954728910351,41.95659585178189,40.790201017175136,38.1749468452171
+2020-04-23,41.01643030819344,40.84307397439768,39.38435802179171,37.00938839539785
+2020-04-24,40.55746062801621,40.47631264105351,38.83347959689056,36.10581649840255
+2020-04-27,39.14447168552215,38.92908069748547,37.40764731670409,34.75885281517623
+2020-04-28,39.14224832431241,38.97473032275734,37.1632621940404,34.148531001979606
+2020-04-29,39.03298881417223,38.763058129161806,37.487726143025135,34.97253541770133
+2020-04-30,37.9904376377987,37.96452322463768,36.20994290383137,33.48723808909074
+2020-05-01,37.07147806353521,37.05275273742391,35.22615781592138,32.65636087355712
+2020-05-04,37.340663308377145,37.39076770314567,35.215366395877915,32.74749613734072
+2020-05-05,36.78887361993071,36.44317949247302,35.066949672818296,32.90703589831508
+2020-05-06,36.2473141000928,36.06127503098902,34.26471490919678,32.14920389053857
+2020-05-07,35.86596550712129,35.79134876633134,33.94370388901109,31.8055938317423
+2020-05-08,34.138308867205595,34.33382197306737,31.980722625410067,30.164965342433884
+2020-05-11,33.91325481076199,34.00472518820155,31.88106137272993,30.305856204488794
+2020-05-12,33.686215109790595,33.73698948747034,31.89058039736877,30.515135828990942
+2020-05-13,33.51242744067216,33.57577998051958,31.818815065234467,30.47760043675778
+2020-05-14,33.85727749062081,33.92947531240261,31.981780513911072,30.636921715328253
+2020-05-15,33.92219926178808,33.8436788822583,32.27132632388286,31.25612236104524
+2020-05-18,34.699505521169364,34.54754859524784,33.40069476427098,32.51131005199081
+2020-05-19,34.55713346224401,34.12489136955976,33.73039116054853,33.32857397024439
+2020-05-20,34.53036555505873,34.08090128035877,33.72915027028493,33.36845280968904
+2020-05-21,34.41666811567042,34.00858055916857,33.56400529170003,33.164944759371714
