frequency_band,pair,average_pairwise_net,sign,interpretation
short_term,ai_electricity,0.1803793697995259,positive,前者平均为净输出者
short_term,ai_coal,1.3537321515234486,positive,前者平均为净输出者
short_term,ai_gas,1.3576895986551722,positive,前者平均为净输出者
short_term,ai_wti,-0.21095887257548143,negative,后者平均为净输出者
short_term,ai_gold,1.2915305400821404,positive,前者平均为净输出者
short_term,electricity_coal,1.6667079780661342,positive,前者平均为净输出者
short_term,electricity_gas,0.5868073003081683,positive,前者平均为净输出者
short_term,electricity_wti,-0.18228390835893193,negative,后者平均为净输出者
short_term,electricity_gold,0.7517441698197288,positive,前者平均为净输出者
short_term,coal_gas,1.0860098394355266,positive,前者平均为净输出者
short_term,coal_wti,-0.8154440602774551,negative,后者平均为净输出者
short_term,coal_gold,0.06231260388031285,positive,前者平均为净输出者
short_term,gas_wti,-0.27326601606384343,negative,后者平均为净输出者
short_term,gas_gold,-0.030686896305838283,near_zero,双方平均净溢出接近均衡
short_term,wti_gold,0.9201143226211845,positive,前者平均为净输出者
medium_term,ai_electricity,0.654963635748056,positive,前者平均为净输出者
medium_term,ai_coal,-0.14332237536160083,negative,后者平均为净输出者
medium_term,ai_gas,1.493305412679902,positive,前者平均为净输出者
medium_term,ai_wti,2.1587949401872817,positive,前者平均为净输出者
medium_term,ai_gold,1.8779633007089478,positive,前者平均为净输出者
medium_term,electricity_coal,-1.292042622867408,negative,后者平均为净输出者
medium_term,electricity_gas,0.6047483883677061,positive,前者平均为净输出者
medium_term,electricity_wti,0.4989237588027371,positive,前者平均为净输出者
medium_term,electricity_gold,0.5722016792196795,positive,前者平均为净输出者
medium_term,coal_gas,2.469150208823927,positive,前者平均为净输出者
medium_term,coal_wti,4.648003131390659,positive,前者平均为净输出者
medium_term,coal_gold,0.6424221229331654,positive,前者平均为净输出者
medium_term,gas_wti,-0.39273712779954656,negative,后者平均为净输出者
medium_term,gas_gold,0.15167730099589513,positive,前者平均为净输出者
medium_term,wti_gold,0.7157670822997027,positive,前者平均为净输出者
long_term,ai_electricity,0.7095845757479208,positive,前者平均为净输出者
long_term,ai_coal,-0.8647739502140845,negative,后者平均为净输出者
long_term,ai_gas,1.486480849392851,positive,前者平均为净输出者
long_term,ai_wti,2.49473034643088,positive,前者平均为净输出者
long_term,ai_gold,2.005532400342348,positive,前者平均为净输出者
long_term,electricity_coal,-2.02313287754739,negative,后者平均为净输出者
long_term,electricity_gas,0.6808454016118045,positive,前者平均为净输出者
long_term,electricity_wti,0.5300202684411492,positive,前者平均为净输出者
long_term,electricity_gold,0.5340299736516061,positive,前者平均为净输出者
long_term,coal_gas,2.9197990232814157,positive,前者平均为净输出者
long_term,coal_wti,5.9818953247081685,positive,前者平均为净输出者
long_term,coal_gold,0.5297163577181607,positive,前者平均为净输出者
long_term,gas_wti,-0.38584369007240144,negative,后者平均为净输出者
long_term,gas_gold,0.2057684454885184,positive,前者平均为净输出者
long_term,wti_gold,0.745268931475147,positive,前者平均为净输出者
